FT  ->  Latency(us/op), Workload (Sec),  Throughput(ops/sec) ,Bandwidth(MB/s)  ->   Duration(ns)
0  ->  31.937 , 31.937 , 31311 , 24.4  ->  33375193318
10  ->  30.972 , 30.972 , 32287 , 25.1  ->  32124240745
20  ->  31.152 , 31.152 , 32100 , 25.0  ->  32297684888
30  ->  31.581 , 31.581 , 31664 , 24.6  ->  32658700872
40  ->  33.120 , 33.120 , 30192 , 23.5  ->  34529560142
50  ->  34.257 , 34.257 , 29190 , 22.7  ->  35830958440
60  ->  33.292 , 33.292 , 30037 , 23.4  ->  35695388018
70  ->  38.428 , 38.428 , 26022 , 20.3  ->  39531012378
80  ->  38.067 , 38.067 , 26269 , 20.4  ->  39192487703
90  ->  40.777 , 40.777 , 24523 , 19.1  ->  41865540986
100  ->  34.361 , 34.361 , 29102 , 22.6  ->  43017387215
