FT  ->  Latency(us/op), Workload (Sec),  Throughput(ops/sec) ,Bandwidth(MB/s)  ->   Duration(ns)
0  ->  26.351 , 26.351 , 37949 , 29.5  ->  27461210727
10  ->  24.709 , 24.709 , 40471 , 31.5  ->  25929659922
20  ->  26.706 , 26.706 , 37444 , 29.1  ->  27843302552
30  ->  30.134 , 30.134 , 33185 , 25.8  ->  31287134860
40  ->  32.425 , 32.425 , 30840 , 24.0  ->  33621297106
50  ->  34.902 , 34.902 , 28651 , 22.3  ->  36103182653
60  ->  36.265 , 36.265 , 27574 , 21.5  ->  38020960896
70  ->  37.966 , 37.966 , 26339 , 20.5  ->  39079496178
80  ->  47.700 , 47.700 , 20964 , 16.3  ->  48871452249
90  ->  64.069 , 64.069 , 15608 , 12.1  ->  66041685248
100  ->  59.782 , 59.782 , 16727 , 13.0  ->  69253367006
