FT  ->  Latency(us/op), Workload (Sec),  Throughput(ops/sec) ,Bandwidth(MB/s)  ->   Duration(ns)
0  ->  40.024 , 40.024 , 24984 , 19.4  ->  41127242797
10  ->  37.649 , 37.649 , 26560 , 20.7  ->  38878001654
20  ->  39.892 , 39.892 , 25067 , 19.5  ->  41070710851
30  ->  44.423 , 44.423 , 22510 , 17.5  ->  45524954607
40  ->  45.574 , 45.575 , 21942 , 17.1  ->  46782737083
50  ->  41.007 , 41.008 , 24385 , 19.0  ->  42247791354
60  ->  44.796 , 44.796 , 22323 , 17.4  ->  46015410379
70  ->  44.050 , 44.050 , 22701 , 17.7  ->  45379182184
80  ->  65.625 , 65.625 , 15238 , 11.9  ->  67682264836
90  ->  59.395 , 59.395 , 16836 , 13.1  ->  61178567212
100  ->  58.168 , 58.168 , 17191 , 13.4  ->  67952268246
