FT  ->  Latency(us/op), Workload (Sec),  Throughput(ops/sec) ,Bandwidth(MB/s)  ->   Duration(ns)
0  ->  20.586 , 20.586 , 48576 , 37.8  ->  21956159535
10  ->  21.020 , 21.020 , 47572 , 37.0  ->  22210751746
20  ->  21.162 , 21.162 , 47254 , 36.8  ->  22298649775
30  ->  23.863 , 23.863 , 41905 , 32.6  ->  25008211829
40  ->  22.694 , 22.694 , 44063 , 34.3  ->  23806954281
50  ->  25.387 , 25.388 , 39389 , 30.7  ->  26787341738
60  ->  29.068 , 29.068 , 34402 , 26.8  ->  30751422932
70  ->  26.570 , 26.571 , 37635 , 29.3  ->  28364228856
80  ->  28.679 , 28.679 , 34868 , 27.1  ->  30255692162
90  ->  26.328 , 26.328 , 37982 , 29.6  ->  28459452270
100  ->  31.757 , 31.757 , 31488 , 24.5  ->  41211322072
