device,/dev/nvme0n1
nsid,1
zone_size,67108864
target_zone,13
target_offset,872415232
target_slba,1703936
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,872415232,714
1,872419328,635
2,872423424,576
3,872427520,599
4,872431616,612
5,872435712,659
6,872439808,611
7,872443904,561
8,872448000,630
9,872452096,560
10,872456192,639
11,872460288,635
12,872464384,638
13,872468480,643
14,872472576,634
15,872476672,559
16,872480768,629
17,872484864,635
18,872488960,569
19,872493056,635
20,872497152,637
21,872501248,635
22,872505344,638
23,872509440,633
24,872513536,651
25,872517632,631
26,872521728,558
27,872525824,628
28,872529920,596
29,872534016,645
30,872538112,596
31,872542208,609
32,872546304,596
33,872550400,642
34,872554496,560
35,872558592,594
36,872562688,615
37,872566784,625
38,872570880,642
39,872574976,627
40,872579072,639
41,872583168,636
42,872587264,633
43,872591360,629
44,872595456,632
45,872599552,568
46,872603648,636
47,872607744,655
48,872611840,630
49,872615936,635
50,872620032,628
51,872624128,622
52,872628224,635
53,872632320,561
54,872636416,632
55,872640512,633
56,872644608,568
57,872648704,627
58,872652800,637
59,872656896,608
60,872660992,670
61,872665088,639
62,872669184,625
63,872673280,639
64,872677376,561
65,872681472,632
66,872685568,671
67,872689664,638
68,872693760,638
69,872697856,640
70,872701952,631
71,872706048,638
72,872710144,637
73,872714240,581
74,872718336,638
75,872722432,637
76,872726528,640
77,872730624,640
78,872734720,657
79,872738816,648
80,872742912,639
81,872747008,642
82,872751104,632
83,872755200,638
84,872759296,572
85,872763392,640
86,872767488,643
87,872771584,639
88,872775680,633
89,872779776,638
90,872783872,642
91,872787968,637
92,872792064,635
93,872796160,642
94,872800256,635
95,872804352,640
96,872808448,644
97,872812544,638
98,872816640,600
99,872820736,635
100,872824832,641
101,872828928,634
102,872833024,642
103,872837120,636
104,872841216,573
105,872845312,649
106,872849408,634
107,872853504,609
108,872857600,640
109,872861696,626
110,872865792,640
111,872869888,629
112,872873984,559
113,872878080,607
114,872882176,638
115,872886272,564
116,872890368,605
117,872894464,589
118,872898560,694
119,872902656,606
120,872906752,598
121,872910848,595
122,872914944,597
123,872919040,598
124,872923136,593
125,872927232,560
126,872931328,594
127,872935424,598
128,872939520,595
129,872943616,596
130,872947712,595
131,872951808,599
132,872955904,600
133,872960000,615
134,872964096,597
135,872968192,618
136,872972288,595
137,872976384,595
138,872980480,571
139,872984576,598
140,872988672,595
141,872992768,601
142,872996864,594
143,873000960,599
144,873005056,598
145,873009152,597
146,873013248,598
147,873017344,596
148,873021440,665
149,873025536,595
150,873029632,617
151,873033728,571
152,873037824,597
153,873041920,595
154,873046016,602
155,873050112,596
156,873054208,598
157,873058304,595
158,873062400,598
159,873066496,595
160,873070592,596
161,873074688,570
162,873078784,594
163,873082880,595
164,873086976,596
165,873091072,594
166,873095168,595
167,873099264,615
168,873103360,599
169,873107456,598
170,873111552,597
171,873115648,596
172,873119744,595
173,873123840,607
174,873127936,573
175,873132032,595
176,873136128,563
177,873140224,595
178,873144320,598
179,873148416,597
180,873152512,604
181,873156608,595
182,873160704,596
183,873164800,594
184,873168896,598
185,873172992,592
186,873177088,595
187,873181184,571
188,873185280,595
189,873189376,598
190,873193472,594
191,873197568,597
192,873201664,602
193,873205760,594
194,873209856,598
195,873213952,596
196,873218048,594
197,873222144,571
198,873226240,595
199,873230336,595
200,873234432,595
201,873238528,614
202,873242624,596
203,873246720,596
204,873250816,603
205,873254912,597
206,873259008,596
207,873263104,560
208,873267200,592
209,873271296,596
210,873275392,596
211,873279488,594
212,873283584,596
213,873287680,609
214,873291776,594
215,873295872,598
216,873299968,604
217,873304064,653
218,873308160,596
219,873312256,615
220,873316352,571
221,873320448,597
222,873324544,596
223,873328640,598
224,873332736,596
225,873336832,597
226,873340928,597
227,873345024,594
228,873349120,603
229,873353216,594
230,873357312,640
231,873361408,595
232,873365504,616
233,873369600,572
234,873373696,594
235,873377792,596
236,873381888,600
237,873385984,595
238,873390080,597
239,873394176,596
240,873398272,596
241,873402368,604
242,873406464,596
243,873410560,562
244,873414656,593
245,873418752,597
246,873422848,598
247,873426944,594
248,873431040,597
249,873435136,593
250,873439232,599
251,873443328,598
252,873447424,597
253,873451520,615
254,873455616,595
255,873459712,671
