bs,numjobs,bw_kb_s,iops,clat_ns_mean
256M,10,481439,7522.497704,1051868.30304
256M,12,479897,7498.398169,1052154.671692
256M,14,481108,7517.320486,1052767.027496
256M,16,472757,7386.834986,1067231.598328
256M,1,60110,939.234121,1056096.944092
256M,2,120775,1887.122783,1051658.013062
256M,4,238638,3728.720983,1058075.25354
256M,6,364088,5688.888889,1043841.208984
256M,8,481661,7525.953147,1051890.159515
64M,10,470635,7353.680431,1072301.39563
64M,12,462743,7230.361871,1085857.49292
64M,14,471058,7360.287511,1063114.848633
64M,16,463971,7249.557522,1085557.251465
64M,1,59850,935.159817,1060327.219727
64M,2,120139,1877.176902,1056083.208496
64M,4,236805,3700.090334,1065542.467773
64M,6,360087,5626.373626,1049863.302572
64M,8,477059,7454.049136,1057847.217773
